Frequency,Age,Conductivity_Mean,RelativePermittivity_Mean,Label,Orientation_Transverse,Disease_ActRIIB,Disease_MDX,Disease_PBS,Disease_SMA
9000,16,0.073405506,52598.30306,0,FALSE,FALSE,FALSE,FALSE,FALSE
9000,16,0.070092659,47912.09389,0,TRUE,FALSE,FALSE,FALSE,FALSE
9000,18,0.074148231,54680.44144,0,FALSE,FALSE,FALSE,FALSE,FALSE
9000,18,0.064951078,42255.4072,0,TRUE,FALSE,FALSE,FALSE,FALSE
9000,8,0.150579887,98492.36777,0,FALSE,FALSE,FALSE,FALSE,FALSE
9000,8,0.068590657,54580.81146,0,TRUE,FALSE,FALSE,FALSE,FALSE
9000,10,0.304253364,99533.409,0,FALSE,FALSE,TRUE,FALSE,FALSE
9000,10,0.203614507,71169.98244,0,TRUE,FALSE,TRUE,FALSE,FALSE
9000,13,0.342451747,109453.7916,0,FALSE,FALSE,TRUE,FALSE,FALSE
9000,13,0.259660845,93100.79215,0,TRUE,FALSE,TRUE,FALSE,FALSE
9000,43,0.147658061,38482.16393,0,FALSE,FALSE,TRUE,FALSE,FALSE
9000,43,0.087248553,31530.34783,0,TRUE,FALSE,TRUE,FALSE,FALSE
9000,6,0.303636,83909.91032,0,FALSE,FALSE,TRUE,FALSE,FALSE
9000,6,0.200502869,61558.99664,0,TRUE,FALSE,TRUE,FALSE,FALSE
9000,40,0.132680995,43296.31834,0,FALSE,FALSE,FALSE,FALSE,TRUE
9000,40,0.042329534,22145.80203,0,TRUE,FALSE,FALSE,FALSE,TRUE
11000,16,0.076094154,48124.15515,0,FALSE,FALSE,FALSE,FALSE,FALSE
11000,16,0.072392249,43873.18762,0,TRUE,FALSE,FALSE,FALSE,FALSE
11000,18,0.077018943,50617.15949,0,FALSE,FALSE,FALSE,FALSE,FALSE
11000,18,0.067005241,38855.53311,0,TRUE,FALSE,FALSE,FALSE,FALSE
11000,8,0.155957872,89633.23419,0,FALSE,FALSE,FALSE,FALSE,FALSE
11000,8,0.07108593,50560.39981,0,TRUE,FALSE,FALSE,FALSE,FALSE
11000,10,0.310188266,86558.40407,0,FALSE,FALSE,TRUE,FALSE,FALSE
11000,10,0.207357923,63095.49766,0,TRUE,FALSE,TRUE,FALSE,FALSE
11000,13,0.348998468,95465.79474,0,FALSE,FALSE,TRUE,FALSE,FALSE
11000,13,0.264776513,82793.4283,0,TRUE,FALSE,TRUE,FALSE,FALSE
11000,43,0.149864298,32336.23489,0,FALSE,FALSE,TRUE,FALSE,FALSE
11000,43,0.088967826,27736.73541,0,TRUE,FALSE,TRUE,FALSE,FALSE
11000,6,0.308681997,73853.98073,0,FALSE,FALSE,TRUE,FALSE,FALSE
11000,6,0.203773712,55079.82446,0,TRUE,FALSE,TRUE,FALSE,FALSE
11000,40,0.135296344,37685.27249,0,FALSE,FALSE,FALSE,FALSE,TRUE
11000,40,0.043485411,20340.15899,0,TRUE,FALSE,FALSE,FALSE,TRUE
13000,16,0.078565475,44732.93415,0,FALSE,FALSE,FALSE,FALSE,FALSE
13000,16,0.074457413,40770.18793,0,TRUE,FALSE,FALSE,FALSE,FALSE
